AREAコード,団体コード(市区町村コード),都道府県コード,"都道府県名（漢字）","区所属都市",市区町村名（漢字）
C,133078,13,東京都,,檜原村
C,133086,13,東京都,,奥多摩町
C,133612,13,東京都,,大島町
C,133621,13,東京都,,利島村
C,133639,13,東京都,,新島村
C,133647,13,東京都,,神津島村
C,133817,13,東京都,,三宅村
C,133825,13,東京都,,御蔵島村
C,134015,13,東京都,,八丈町
C,134023,13,東京都,,青ヶ島村
C,134210,13,東京都,,小笠原村
C,140007,14,神奈川県,,
C,141003,14,神奈川県,,横浜市
C,141305,14,神奈川県,,川崎市
C,141500,14,神奈川県,,相模原市
C,142018,14,神奈川県,,横須賀市
C,142034,14,神奈川県,,平塚市
C,142042,14,神奈川県,,鎌倉市
C,142051,14,神奈川県,,藤沢市
C,142069,14,神奈川県,,小田原市
C,142077,14,神奈川県,,茅ヶ崎市
C,142085,14,神奈川県,,逗子市
C,142107,14,神奈川県,,三浦市
C,142115,14,神奈川県,,秦野市
C,142123,14,神奈川県,,厚木市
C,142131,14,神奈川県,,大和市
C,142140,14,神奈川県,,伊勢原市
C,142158,14,神奈川県,,海老名市
C,142166,14,神奈川県,,座間市
C,142174,14,神奈川県,,南足柄市
C,142182,14,神奈川県,,綾瀬市
C,143014,14,神奈川県,,葉山町
C,143219,14,神奈川県,,寒川町
C,143413,14,神奈川県,,大磯町
C,143421,14,神奈川県,,二宮町
C,143618,14,神奈川県,,中井町
C,143626,14,神奈川県,,大井町
C,143634,14,神奈川県,,松田町
C,143642,14,神奈川県,,山北町
C,143669,14,神奈川県,,開成町
C,143821,14,神奈川県,,箱根町
C,143839,14,神奈川県,,真鶴町
C,143847,14,神奈川県,,湯河原町
C,144011,14,神奈川県,,愛川町
C,144029,14,神奈川県,,清川村
D,150002,15,新潟県,,
D,151009,15,新潟県,,新潟市
D,152021,15,新潟県,,長岡市
D,152048,15,新潟県,,三条市
D,152056,15,新潟県,,柏崎市
D,152064,15,新潟県,,新発田市
D,152081,15,新潟県,,小千谷市
D,152099,15,新潟県,,加茂市
D,152102,15,新潟県,,十日町市
D,152111,15,新潟県,,見附市
D,152129,15,新潟県,,村上市
D,152137,15,新潟県,,燕市
D,152161,15,新潟県,,糸魚川市
D,152170,15,新潟県,,妙高市
D,152188,15,新潟県,,五泉市
D,152226,15,新潟県,,上越市
D,152234,15,新潟県,,阿賀野市
D,152242,15,新潟県,,佐渡市
D,152251,15,新潟県,,魚沼市
D,152269,15,新潟県,,南魚沼市
D,152277,15,新潟県,,胎内市
D,153079,15,新潟県,,聖籠町
D,153427,15,新潟県,,弥彦村
D,153613,15,新潟県,,田上町
D,153851,15,新潟県,,阿賀町
D,154059,15,新潟県,,出雲崎町
D,154610,15,新潟県,,湯沢町
D,154822,15,新潟県,,津南町
D,155047,15,新潟県,,刈羽村
D,155811,15,新潟県,,関川村
D,155861,15,新潟県,,粟島浦村
D,160008,16,富山県,,
D,162019,16,富山県,,富山市
D,162027,16,富山県,,高岡市
